"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
5826,"iNO as Salvage Treatment of Hypoxemia After TAAD Surgery","Recruiting","No Results Available","Type A Aortic Dissection","Drug: inhaled nitric oxide|Device: PEEP","Zhongshan hospital Fudan University, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04032366"
5827,"Medical Consortium for Screening Upper Gastrointestinal Cancers With Magnetically Controlled Capsule Gastroscopy","Recruiting","No Results Available","Capsule Endoscopy|Cancer of Stomach|Cancer of Esophagus|Health Policy","Other: Medical Consortium","Department of Gastroenterology, Qilu Hospital, Shandong University, Jinan, Shandong, China","https://ClinicalTrials.gov/show/NCT04032353"
5828,"Companion Dog & Loneliness in Elderly Persons","Not yet recruiting","No Results Available","Elderly|Companion Dog|Home Based|Loneliness","Other: dog presence",,"https://ClinicalTrials.gov/show/NCT04032340"
5829,"Local Anesthetics on Postsurgical Analgesia Following Posterior Colporrhaphy","Recruiting","No Results Available","Postoperative Pain","Drug: Exparel plus plain bupivacaine|Drug: Bupivacaine","Walter Reed National Military Medical Center (WRNMMC), Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT04032327"
5830,"Lower Extremity Outcome Measures in SCI","Recruiting","No Results Available","Spinal Cord Injuries",,"University Hospital Balgrist, Zürich, Zurich, Switzerland","https://ClinicalTrials.gov/show/NCT04032314"
5831,"Repeated Ketamine Infusions for Comorbid PTSD and MDD in Veterans","Recruiting","No Results Available","Post-Traumatic Stress Disorders|Major Depressive Disorder","Drug: Ketamine|Other: Normal Saline","Minneapolis Veterans Affairs Health Care System, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04032301"
5832,"Establish a Prospective Registration System of ARDS Patients for Improving Quality of Care","Completed","No Results Available","Mortality",,"Department of Intensive Care Medicine; Chi Mei Medical Center, Tainan, Taiwan","https://ClinicalTrials.gov/show/NCT04032288"
5833,"Correlation Between Virus and Biochemical Characteristics and Liver Histological Damage in Untreated Chronic HBV Infection","Completed","No Results Available","Chronic Hepatitis B","Other: Chronic hepatitis B infection","liver disease center, Beijing Ditan Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04032275"
5834,"Parkinson's Disease and Digestive Health","Recruiting","No Results Available","Parkinson Disease|Constipation|Gastro-Intestinal Disorder","Diagnostic Test: Gastrointestinal and Parkinson's Disease","Augusta University Digestive Health Research, Augusta, Georgia, United States","https://ClinicalTrials.gov/show/NCT04032262"
5835,"Implications of Self-weighing During Weight Loss Treatment","Active, not recruiting","No Results Available","Overweight and Obesity|Signs and Symptoms|Behavior, Eating","Behavioral: Control Group (CG)|Behavioral: Intervention Group (IG)","Universidad de Córdoba, Córdoba, Spain","https://ClinicalTrials.gov/show/NCT04032249"
5836,"Effect of Oral pH Changes on Smoking Desire","Completed","No Results Available","Smoking Behaviors","Other: caffeine","Dokuz Eylul University, İzmir, Turkey","https://ClinicalTrials.gov/show/NCT04032236"
5837,"Patient Satisfaction and Retention in Implant Supported Telescopic Overdenture With Different Copings","Not yet recruiting","No Results Available","Implant Supported Telescopic Overdenture","Procedure: Implant placemet in the mandibular canine regions",,"https://ClinicalTrials.gov/show/NCT04032223"
5838,"The Influence of Preventive Regimens Containing Different Toothpastes on Caries Risk of High Risk Patients: A Randomized Clinical Trial","Not yet recruiting","No Results Available","Prevention of Dental Caries","Other: dual Zinc plus Arginine based toothpaste (Colgate total)|Other: Zinc based toothpaste (Crest complete)|Other: Fluoride based toothpaste (Signal)","Esraa Abdel Ghaffar Ahmed, Giza, Other, Egypt","https://ClinicalTrials.gov/show/NCT04032210"
5839,"A Research Study of How Semaglutide Works in People With Disease Affecting the Heart and/or Blood Vessels and Type 2 Diabetes","Recruiting","No Results Available","Diabetes Mellitus, Type 2","Drug: Semaglutide|Drug: Placebo (semaglutide)","Novo Nordisk Investigational Site, Graz, Austria|Novo Nordisk Investigational Site, Gentofte, Denmark|Novo Nordisk Investigational Site, Uppsala, Sweden","https://ClinicalTrials.gov/show/NCT04032197"
5840,"Effectiveness of Different Preventive Regimens in Cariogram Parameters and DMF Scores of High Caries Risk Patients: A Randomized Control Trial","Not yet recruiting","No Results Available","Prevention of Dental Caries","Other: Fluoride toothpaste|Other: fluoride toothpaste and chlorhexidine mouthwash|Other: fluoride toothpaste, chlorhexidine mouthwash, MI varnish","Howaida Fakhry Fouad, Giza, Other, Egypt","https://ClinicalTrials.gov/show/NCT04032184"
5841,"Study of Evobrutinib in Participants With Relapsing Multiple Sclerosis","Not yet recruiting","No Results Available","Relapsing-remitting Multiple Sclerosis","Drug: Evobrutinib|Drug: Avonex®|Drug: Placebo","Please Contact U.S. Medical Information, Rockland, Massachusetts, United States|Please Contact the Communication Center, Darmstadt, Germany","https://ClinicalTrials.gov/show/NCT04032171"
5842,"Study of Evobrutinib in Participants With Relapsing Multiple Sclerosis (RMS)","Recruiting","No Results Available","Relapsing-remitting Multiple Sclerosis","Drug: Evobrutinib|Drug: Avonex®|Drug: Placebo","University of South Alabama, Mobile, Alabama, United States|Collaborative Neuroscience Network, LLC, Long Beach, California, United States|SC3 Research Group Inc., Pasadena, California, United States|SC3 Research Group Inc., Reseda, California, United States|University of Florida - Shands, Gainesville, Florida, United States|Neurology Associates of Ormond Beach, Ormond Beach, Florida, United States|MS Center of Atlanta, Atlanta, Georgia, United States|Northwest Neurological Specialists, PC, Lake Barrington, Illinois, United States|Consultants In Neurology LTD, Northbrook, Illinois, United States|Fort Wayne Neurological Center, Fort Wayne, Indiana, United States|The NeuroMedical Center, Baton Rouge, Louisiana, United States|Maryland Center for Multiple Sclerosis, Baltimore, Maryland, United States|Neuro Institute of New England P.C., Foxboro, Massachusetts, United States|UMASS, Worcester, Massachusetts, United States|Wayne State University - Detroit Medical Center, Detroit, Michigan, United States|Michigan Institute for Neurological Disorders, Farmington Hills, Michigan, United States|Minneapolis Clinic of Neurology, Edina, Minnesota, United States|University of Minnesota- Department of Neurology, Minneapolis, Minnesota, United States|Cleveland Clinic Lou Ruvo Center for Brain Health, Las Vegas, Nevada, United States|Rutgers - Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|UBMD Neurology, Buffalo, New York, United States|UBMD Neurology, Buffalo, New York, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Neurology & Neuroscience Associates, Inc., Akron, Ohio, United States|Oklahoma University Health Science Center, Oklahoma City, Oklahoma, United States|Oregon Neurology Associates, Springfield, Oregon, United States|Abington Neurological Associates, Abington, Pennsylvania, United States|Abington Neurological Associates, Willow Grove, Pennsylvania, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|Neurology Center of San Antonio, San Antonio, Texas, United States|Sentara Medical Group Clinical Research, Norfolk, Virginia, United States|Neurological Associates, Richmond, Virginia, United States|Evergreen Health Sleep Services, Kirkland, Washington, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|DIABAID, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Instituto Medico Rodriguez Alfici, Godoy Cruz, Mendoza, Argentina|Fundacion Rosarina de Neurorehabilitacion, Rosario, Santa Fe, Argentina|INECO Neurociencias Oroño, Rosario, Santa Fe, Argentina|Centro Medico Privado de Reumatologia, San Miguel de Tucuman, Tucuman, Argentina|Instituto de Investigaciones Metabolicas (IDIM), Ciudad Autonoma Buenos Aires, Argentina|Instituto de Neurologia Cognitiva (INECO), Ciudad Autonoma Buenos Aires, Argentina|Instituto Reumatológico Strusberg, Cordoba, Argentina|Kepler Universitätsklinikum Med Campus III, Pregarten, Austria|Christian-Doppler-Klinik - Universitätsklinikum Salzburg - Univ. Klinik für Neurologie, Salzburg, Austria|Cliniques Universitaires Saint-Luc, Bruxelles, Belgium|CHU Sart Tilman, Esneux, Belgium|CHU de Tivoli, La Louvière, Belgium|Cantonal Hospital ""Dr. Irfan Ljubijankic"" Bihac, Bihac, Bosnia and Herzegovina|University Clinic Centre Sarajevo, Sarajevo, Bosnia and Herzegovina|University Clinical Center Tuzla, Tuzla, Bosnia and Herzegovina|Medical center Medconsult Pleven OOD, Pleven, Bulgaria|UMHAT 'Dr. Georgi Stranski', EAD, Pleven, Bulgaria|UMHAT ""Pulmed"" OOD, Plovdiv, Bulgaria|Medical center CONVEX EOOD, Sofia, Bulgaria|MHATNP ""Sv.Naum"", EAD - Third Neurology Clinic, Sofia, Bulgaria|UMHAT ""Alexandrovska"" EAD - Clinic of Neurology, Sofia, Bulgaria|UMHAT ""Alexandrovska"" EAD - Clinic of Neurology, Sofia, Bulgaria|UMHAT ""Sv. Ivan Rilski"", EAD, Sofia, Bulgaria|UMHATEM 'N.I. Pirogov', EAD, Sofia, Bulgaria|University of Alberta - Northern Alberta Clin Trials & Res Cntre, Edmonton, Alberta, Canada|Clinique Neuro-Outaouais, Gatineau, Quebec, Canada|Recherche Sepmus, Inc., Greenfield Park, Quebec, Canada|Clinical Hospital Centre Osijek, Osijek, Croatia|Clinical Hospital Centre Rijeka, Rijeka, Croatia|Clinical Hospital Centre Split, Split, Croatia|General Hospital Varazdin, Varazdin, Croatia|Clinical Hospital Centre Zagreb, Zagreb, Croatia|Clinical Hospital Dubrava Zagreb, Zagreb, Croatia|Fakultni nemocnice u sv. Anny v Brne - I.neurologicka klinika, Brno, Czechia|Fakultni nemocnice Hradec Kralove - Dept of Neurologicka klinika, Chocen, Czechia|Privatni ordinace - neurologie - Nestatni zdravotnicke zarizeni, Hradec Kralove, Czechia|Fakultni nemocnice Olomouc - Neurologicka klinika, Olomouc, Czechia|Fakultni nemocnice Ostrava - Dept of Neurology, Ostrava-Poruba, Czechia|Nemocnice Pardubickeho kraje a.s. Pardubicka nemocnice - Dept of Neurologicka klinika, Pardubice, Czechia|Fakultni nemocnice Kralovske Vinohrady - Neurologicka klinika, Praha 10, Czechia|Fakultni poliklinika VFN - RS centrum, Praha 2, Czechia|Fakultni nemocnice v Motole - Interní klinika 2. LF UK a FN Motol, Praha 5, Czechia|Thomayerova nemocnice - Dept. of Neurologicka klinika, Praha, Czechia|Krajska zdravotni, a.s. - Nemocnice Teplice, o.z. - Neurologicke oddeleni, Teplice, Czechia|Pärnu Hospital, Pärnu, Estonia|Astra Team Clinic, Tallinn, Estonia|East Tallinn Central Hospital, Tallinn, Estonia|Hopital Roger Salengro - CHU Lille - service de neurologie D, Lille Cedex, France|Hopital Saint Vincent de Paul - GHICL Lille - service de neurologie, Lille cedex, France|Hopital Gui de Chauliac - Service de Neurologie, Montpellier, France|CHU Nice - Hôpital Pasteur - Service de Neurologie, Nice, France|CHU Rennes - Hopital Pontchaillou - Neurologie - Clinique Neurologique, Rennes, France|CHU de Rouen - Hôpital Charles Nicolle - Service de Neurologie, Rouen cedex, France|Aversi Clinic Ltd, Tbilisi, Georgia|Clinic Curatio, Tbilisi, Georgia|Consilium Medulla-multiprofile clinic Ltd, Tbilisi, Georgia|Ltd. Pineo Medical Ecosystem, Tbilisi, Georgia|Malkhaz Katsiashvili Multiprofile Medicine Center, Tbilisi, Georgia|MediClub Georgia, Tbilisi, Georgia|P. Sarajishvili Institute of Neurology, Tbilisi, Georgia|S. Khechinashvili University Clinic, Tbilisi, Georgia|The First University Clinic of Tbilisi State Medical University, Tbilisi, Georgia|Charité Universitaetsmedizin Berlin - Campus Charité Mitte - Klinik fuer Neurologie, Berlin, Germany|Universitaetsklinikum Essen - Klinik fuer Neurologie, Essen, Germany|Klinikum der Johann Wolfgang Goethe-Universitaet - Klinik fuer Neurologie, Frankfurt, Germany|Klinikum Mannheim GmbH Universitaetsklinikum - Neurologische Klinik, Mannheim, Germany|Klinikum der Universitaet Muenchen Campus Grosshadern - Medizinische Klinik und Poliklinik III, Muenchen, Germany|Universitaetsklinikum Muenster - Parent, Muenster, Germany|St. Josefs-Krankenhaus Potsdam-Sanssouci - Neurologie, Potsdam, Germany|Zentrum f. Neurologisch- Psychiatrische Studien und Begutachtung, Siegen, Germany|Clinexpert Egeszsegugyi Szolg. es Ker. Kft., Budapest, Hungary|UNO Medical Trials Kft., Budapest, Hungary|Kenezy Gyula Korhaz es Rendelointezet - Neurologiai Osztaly, Debrecen, Hungary|Pest Megyei Flor Ferenc Korhaz - Neurologia es Stroke Osztaly, Kistarcsa, Hungary|Gyogyaszok Orvosi Kozpont, Tatabanya, Hungary|Barzilai Medical Center, Ashkelon, Israel|Bnai Zion Medical Center - Department of Internal Medicine B, Haifa, Israel|Hadassah University Hospital - Ein Kerem, Jerusalem, Israel|Kaplan Medical Center - Allergy and clinical immunology, Rechovot, Israel|Ziv Medical Center (11324), Safed, Israel|Ospedale Bellaria - U.O. Neurologia, Bologna, Italy|Azienda Ospedaliero Universitaria San Martino - Dip. Neurologia, Genova, Italy|Ospedale San Raffaele - U.O. di Neurologia, Milano, Italy|Seconda Università degli Studi di Napoli - Seconda Clinica Neurologica, Napoli, Italy|Azienda Ospedaliera Universitaria Policlinico Tor Vergata - U.O.C. Neurologia, Roma, Italy|Ospedale Cattinara - Clinica Neurologica, Trieste, Italy|National Cancer Center (13561), Goyang-si, Korea, Republic of|Asan Medical Center (7978), Seoul, Korea, Republic of|Samsung Medical Center (7072), Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Yonsei University Health System, Seoul, Korea, Republic of|The Catholic University of Korea, Seoul St. Mary's Hospital, Seoul, Korea, Republic of|Hospital Cardiologica Aguascalientes - Cardiology, Aguascalientes, Mexico|Scientia Investigacion Clinica S.C., Chihuahua, Mexico|Unidad de Investigacion en Salud de Chihuahua SC, Sede Chihuahua, Chihuahua, Mexico|Neurociencias Estudios Clinicos, Culiacan, Mexico|Instituto Jalisciense de Metabolismo, S.C., Guadalajara, Mexico|Grupo Medico Camino S.C. (10685), Mexico, Mexico|Hospital General de Mexico (4288), Mexico, Mexico|Centro de Estudios Clinicos y Especialidades Medicas, S.C., Monterrey, Mexico|Eukarya PharmaSite S.C., Monterrey, Mexico|Clinical Center of Montenegro, Podgorica, Montenegro|Promedica S.C., Bedzin, Poland|Specjalistyczna Praktyka Lekarska Lek Med. Robert Bonek, Bydgoszcz, Poland|M.A. - LEK A.M.Maciejowscy SC. (11070), Katowice, Poland|Novo-Med Zielinski i wspolnicy Sp. j., Katowice, Poland|Centrum Kompleksowej Rehabilitacji Sp. Z o.o, Konstancin-Jeziorna, Poland|Centrum Neurologii K.Selmaj, Lodz, Poland|Indywidualna Praktyka Lekarska Prof. Konrad Rejdak, Lublin, Poland|Indywidualna Specjalistyczna Praktyka Lekarska Maciej Zymla, Lublin, Poland|Instytut Zdrowia dr Boczarska-Jedynak, Oswiecim, Poland|NZOZ ""NEURO-KARD"", ""Ilkowski i Partnerzy"" Sp. Partn. Lek., Poznan, Poland|Centrum Medyczne Pratia Warszawa, Warszawa, Poland|TSBIH ""Territorial Clinical Hospital"" - PARENT, Barnaul, Russian Federation|SBHI of Sverdlovsk Region ""Sverdlovsk Regional Clinical Hospital #1"", Ekaterinburg, Russian Federation|SAIH ""Republican Clinical Neurological Center"", Kazan, Russian Federation|FSBIH ""Siberian Clinical Center of FMBA"" - Centre of Neurology and neurology rehabilitation, Krasnoyarsk, Russian Federation|SBIH of Moscow ""City Clinical Hospital # 24"" - Branch 1, Moscow, Russian Federation|SBIH of Moscow region "" Moscow Regional Scientific and Research Clinical Institute n.a. M.F. Vladimi, Moscow, Russian Federation|Volga Federal Medical Research Center, Nizhny Novgorod, Russian Federation|LLC ""Multidisciplinary Center of Modern Medical Care ""Euromed"", Omsk, Russian Federation|SBEI HPE "" Perm State Medical University n.a. Academician E.A. Vagner"" of the MoH of the RF, Perm, Russian Federation|SBIH of Stavropol territory "" City Hospital # 2"" of Pyatigorsk - Neurology Department, Pyatigorsk, Russian Federation|SBEI HPE ""Saratov State Medical University n.a. V. I. Razumovskiy"" of the MoH of the RF, Saratov, Russian Federation|RSBIH ""Smolensk Regional Clinical Hospital"", Smolensk, Russian Federation|LLC National center for socially significan disease, St.Petersburg, Russian Federation|SBIH Republican Clinical Hospital n.a. G. G. Kuvatov, Ufa, Russian Federation|SHI Ulyanovsk Reg Clinical Hospital, Ulyanovsk, Russian Federation|SBEI HPE ""Yaroslavl State Medical University"" of the MoH of the RF - PARENT, Yaroslavl, Russian Federation|Clinical Centar Zemun - Clinic of Internal Medicine, Belgrade, Serbia|Clinical Center Kragujevac - Department of NeurologyClinical Center Kragujevac - Department of Neurology, Belgrade, Serbia|Clinical Center of Serbia (5564), Belgrade, Serbia|Clinical Center Zvezdara - Cardiology Department, Belgrade, Serbia|Military Medical Academy (5565), Belgrade, Serbia|Clinical Center Nis - Clinic of Neurology, Nis, Serbia|General Hospital Uzice, Uzice, Serbia|General Hospital Valjevo - Department of Neurology, Valjevo, Serbia|General Hospital ""Djordje Joanovic"" - Gastroenterology, Zrenjanin, Serbia|Hospital del Mar - Servicio de Neurologia, Barcelona, Spain|Hospital Universitari de Bellvitge - Servicio de Neurologia, Barcelona, Spain|Hospital Universitario Puerta del Mar - Servicio de Neurologia, Cadiz, Spain|Hospital Universitario Donostia - Dept of Neurology, Guipuzcoa, Spain|Hospital Universitari Arnau de Vilanova - Servicio de Neurologia, Lleida, Spain|Hospital Universitario Ramon y Cajal - Servicio Neurologia, Madrid, Spain|Hospital Santa Caterina de Salt (11598), Salt, Spain|Hospital Universitario Virgen Macarena - Servicio de Neurologia, Sevilla, Spain|China Medical University Hospital (6608), Taichung, Taiwan|Cheng Hsin General Hospital, Taipei, Taiwan|Chang Gung Memorial Hospital, Linkou, Taoyuan County, Taiwan|MMI Chernivtsi Regional Psychiatric Hospital Dept of Neurology Bukovinian SMU - Ch of Nervous Diseases, Psychiatry & MP, Chernivtsi, Ukraine|CIH Kharkiv City Pol#9 KMA PGE Ch of Gen Practice - Family Madicine - Dept of Gen Practice - Family Medicine #1, Kharkiv, Ukraine|SI Institute of Neurology, Psychiatry and Narcology of NAMSU - Dept of Neuroinfections and Multiple Sclerosis, Kharkiv, Ukraine|SI Institute of Neurology, Psychiatry and Narcology of NAMSU - Paroxysmal States and Headaches Section, Kharkiv, Ukraine|SMPI Central Clinical Hospital of Ukrzaliznytsia Neurology department #3 Kharkiv MA of PGE - Chair of Neuropathology and Pediatric Neurology, Kharkiv, Ukraine|Treatment and diagnostic center ""MRT-ELIT"" - Department of scientific research, Kropyvnytskyi, Ukraine|Kyiv CCH #4 Dept of Neurology #2 O. O. Bogomolets NMU - Ch of Neurology, Kyiv, Ukraine|Public City Clinical Hospital #5 - Department Of Neurology, Lviv, Ukraine|M.V. Sklifosovskyi Poltava RCH UMSA - Ch of Nervous Diseases with Neurosurgery, Poltava, Ukraine|Sumy Regional Clinical Hospital - Neurological Department, Sumy, Ukraine|CI O.I. Yuschenko VRPsH Vinnytsia M.I. Pyrogov NMU Ch of ND with the Course of Neurosurgery - Dept of Neurology #3, Vinnytsia, Ukraine|CI CCH #6 Dept of General Neurology Zaporizhzhia SMU - Ch of Nervous Diseases, Zaporizhzhia, Ukraine|CI Zaporizhzhia Regional Clinical Hospital of ZRC Dept of Neurology #1 Zaporizhzhia MA of PGE - Ch of Nervous Diseases, Zaporizhzhia, Ukraine|University Hospital of Wales - Dept of Neurology, Cardiff, United Kingdom|Royal Devon and Exeter Hospital (Wonford) - Dept of Neurology, Exeter, United Kingdom|Queen Elizabeth University Hospital Campus - Dept of Neurology, Glasgow, United Kingdom|Raigmore Hospital - Dept of Neurology, Inverness, United Kingdom|Nottingham University Hospital - Division of Clinical Neurology, Nottingham, United Kingdom|Queen's Hospital, Romford, United Kingdom|Royal Hallamshire Hospital - Dept of Neurology, Sheffield, United Kingdom|Morriston Hospital - Dept of Neurology and Neurosciences, Swansea, United Kingdom","https://ClinicalTrials.gov/show/NCT04032158"
